公司代號,公司名稱,統一編號,_統一編號
1592,英瑞國際股份有限公司,"	41134952","_	41134952"
1593,祺驊股份有限公司,"	97432341","_	97432341"
1594,日高工程實業股份有限公司,"	04938839","_	04938839"
1595,川寶科技股份有限公司,"	16860440","_	16860440"
1597,直得科技股份有限公司,"	16755427","_	16755427"
1598,岱宇國際股份有限公司,"	23751545","_	23751545"
1599,宏佳騰動力科技股份有限公司,"	80621419","_	80621419"
1602,太平洋電線電纜股份有限公司,"	03064800","_	03064800"
1603,中華電線電纜股份有限公司,"	35882520","_	35882520"
1604,聲寶股份有限公司,"	03607500","_	03607500"
1605,華新麗華股份有限公司,"	35412204","_	35412204"
1606,歌林股份有限公司,"	35451108","_	35451108"
1608,華榮電線電纜股份有限公司,"	79460007","_	79460007"
1609,大亞電線電纜股份有限公司,"	68035907","_	68035907"
1611,中國電器股份有限公司,"	03086001","_	03086001"
1612,宏泰電工股份有限公司,"	43125162","_	43125162"
1613,台一國際股份有限公司,"	34284955","_	34284955"
1614,台灣三洋電機股份有限公司,"	03564501","_	03564501"
1615,大山電線電纜股份有限公司,"	64829434","_	64829434"
1616,億泰電線電纜股份有限公司,"	22819700","_	22819700"
1617,榮星電線工業股份有限公司,"	73341336","_	73341336"
1618,合機電線電纜股份有限公司,"	23206102","_	23206102"
1619,大展電線電纜股份有限公司,"	05024240","_	05024240"
1626,艾美特國際股份有限公司,"	34995738","_	34995738"
1701,中國化學製藥股份有限公司,"	03088802","_	03088802"
1702,南僑投資控股股份有限公司,"	07305506","_	07305506"
1707,葡萄王生技股份有限公司,"	11880517","_	11880517"
1708,東鹼股份有限公司,"	11384405","_	11384405"
1709,和益化學工業股份有限公司,"	04312878","_	04312878"
1710,東聯化學股份有限公司,"	14057995","_	14057995"
1711,臺灣永光化學工業股份有限公司,"	15458455","_	15458455"
1712,興農股份有限公司,"	51911712","_	51911712"
1713,國泰化工廠股份有限公司,"	03375001","_	03375001"
1714,和桐化學股份有限公司,"	12526607","_	12526607"
1716,永信藥品工業股份有限公司,"	56065601","_	56065601"
1717,長興材料工業股份有限公司,"	75339004","_	75339004"
1718,中國人造纖維股份有限公司,"	07066907","_	07066907"
1720,生達化學製藥股份有限公司,"	71122503","_	71122503"
1721,三晃股份有限公司,"	55738290","_	55738290"
1722,台灣肥料股份有限公司,"	03795101","_	03795101"
1723,中鋼碳素化學股份有限公司,"	23221384","_	23221384"
1724,台硝股份有限公司,"	38033305","_	38033305"
1725,元禎企業股份有限公司,"	12132033","_	12132033"
1726,永記造漆工業股份有限公司,"	75137605","_	75137605"
1727,臺灣中華化學工業股份有限公司,"	03558206","_	03558206"
