公司代號,_公司代號,公司名稱,統一編號,_統一編號,市場別
1314,_1314,中國石油化學工業開發(股)公司,3084741,_	03084741,上市
1315,_1315,達新工業股份有限公司,51059101,_	51059101,上市
1316,_1316,上曜建設開發股份有限公司,73654033,_	73654033,上市
1319,_1319,東陽實業廠股份有限公司,68326665,_	68326665,上市
1321,_1321,大洋塑膠工業股份有限公司,15024509,_	15024509,上市
1323,_1323,永裕塑膠工業股份有限公司,68192103,_	68192103,上市
1324,_1324,地球綜合工業股份有限公司,7147916,_	07147916,上市
1325,_1325,恒大股份有限公司,11455800,_	11455800,上市
1326,_1326,台灣化學纖維股份有限公司,58650902,_	58650902,上市
1328,_1328,台灣中油股份有限公司,3707901,_	03707901,公開發行
1333,_1333,恩得利工業股份有限公司,84584513,_	84584513,不繼續公開發行
1336,_1336,台翰精密科技股份有限公司,22589593,_	22589593,上櫃
1337,_1337,亞洲塑膠再生資源控股有限公司,26068617,_	26068617,上市
1338,_1338,廣華控股有限公司,26594386,_	26594386,上市
1339,_1339,昭輝實業股份有限公司,22078327,_	22078327,上市
1340,_1340,勝悅新材料有限公司,37722768,_	37722768,上市
1341,_1341,富林塑膠工業(開曼)控股(股)公司,82716171,_	82716171,上市
1342,_1342,八貫企業股份有限公司,12386676,_	12386676,上市
1343,_1343,旭東環保科技股份有限公司,89323361,_	89323361,興櫃
1402,_1402,遠東新世紀股份有限公司,3522600,_	03522600,上市
1408,_1408,中興紡織廠股份有限公司,35082604,_	35082604,公開發行
1409,_1409,新光合成纖維股份有限公司,7435515,_	07435515,上市
1410,_1410,南洋染整股份有限公司,35286207,_	35286207,上市
1413,_1413,宏洲纖維工業股份有限公司,7220710,_	07220710,上市
1414,_1414,東和紡織股份有限公司,73141105,_	73141105,上市
1416,_1416,廣豐實業股份有限公司,43434316,_	43434316,上市
1417,_1417,嘉裕股份有限公司,11825825,_	11825825,上市
1418,_1418,東華龍股份有限公司,11083148,_	11083148,上市
1419,_1419,新光紡織股份有限公司,7435901,_	07435901,上市
1423,_1423,利華羊毛工業股份有限公司,11311608,_	11311608,上市
1432,_1432,大魯閣實業股份有限公司,4690983,_	04690983,上市
1434,_1434,福懋興業股份有限公司,14001199,_	14001199,上市
1435,_1435,中福國際(股)公司,3101946,_	03101946,上市
1436,_1436,華友聯開發股份有限公司(原福益),7510318,_	07510318,上市
1437,_1437,勤益投資控股股份有限公司,35535607,_	35535607,上市
1438,_1438,三地開發地產股份有限公司,3561011,_	03561011,上市
